"year","month","month_num","top_bottom","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
1994,"February",2,"bottom10",0.484,0.703769230769231,4.76923076923077,-8.07292307692308,1,0.0465,0.274666230769231,0.0422218946153846,0.1917,0.576,124.200538461538,286746.461538462
1994,"February",2,"middle",0.58368,0.683665,5.775,-9.2311,0.625,0.06082625,0.16138986875,0.165104289125,0.2248625,0.5662075,116.57235,280006.025
1994,"February",2,"top10",0.60879,0.7534,5.8,-7.7993,0.6,0.04419,0.128701,0.026848691,0.2136,0.5575,129.5501,280363.2
1994,"March",3,"bottom10",0.609961538461538,0.682653846153846,5.92307692307692,-9.16615384615385,0.692307692307692,0.06285,0.126930911538462,0.14733326,0.187,0.568692307692308,111.821884615385,271932.461538462
1994,"March",3,"middle",0.58699900990099,0.710820792079208,6.20792079207921,-9.17033663366337,0.613861386138614,0.060880198019802,0.144479908910891,0.154805805940594,0.183232673267327,0.55609900990099,124.07296039604,271932.623762376
1994,"March",3,"top10",0.628923076923077,0.650076923076923,5.23076923076923,-9.13376923076923,0.615384615384615,0.0422538461538462,0.143363076923077,0.0794894753846154,0.133730769230769,0.577769230769231,127.038846153846,240560.538461538
1994,"April",4,"bottom10",0.527516,0.661056,5.92,-9.34428,0.72,0.062676,0.27290368,0.142197244,0.17308,0.484812,121.76124,255621.88
1994,"April",4,"middle",0.603760416666667,0.710473958333333,6.02083333333333,-8.98104166666667,0.666666666666667,0.054925,0.147708428125,0.1006912675,0.168527083333333,0.574228125,121.3959375,266647.458333333
1994,"April",4,"top10",0.692083333333333,0.632333333333333,6.16666666666667,-10.1000833333333,0.416666666666667,0.0438583333333333,0.1089525,0.1075792875,0.151116666666667,0.569083333333333,119.217666666667,203791.333333333
1994,"May",5,"bottom10",0.567096774193548,0.641645161290323,5.16129032258065,-9.88477419354839,0.645161290322581,0.0387774193548387,0.163045525806452,0.155856001290323,0.205832258064516,0.56228064516129,125.737967741935,288230
1994,"May",5,"middle",0.594385964912281,0.688087719298246,5.47368421052632,-9.39661403508772,0.692982456140351,0.0584008771929825,0.121555324561404,0.11337648122807,0.163522807017544,0.545264035087719,121.293157894737,258832.631578947
1994,"May",5,"top10",0.623846153846154,0.739692307692308,5.61538461538461,-9.44538461538462,0.615384615384615,0.0529230769230769,0.11217,0.0187876876923077,0.192469230769231,0.621,140.606230769231,239500.923076923
1994,"June",6,"bottom10",0.531958333333333,0.71875,6.29166666666667,-9.08870833333333,0.458333333333333,0.0560541666666667,0.0625343208333333,0.279937194583333,0.192720833333333,0.512625,122.9505,279404.25
1994,"June",6,"middle",0.584725263157895,0.709442105263158,5.93684210526316,-9.15216842105263,0.547368421052632,0.0627421052631579,0.0952910803157895,0.0984975466315789,0.168898947368421,0.549615789473684,121.358894736842,264160.536842105
1994,"June",6,"top10",0.627111111111111,0.789444444444445,4.77777777777778,-7.44611111111111,0.555555555555556,0.0491444444444444,0.100874444444444,0.144805967777778,0.182977777777778,0.660222222222222,139.731555555556,254552.555555556
1994,"July",7,"bottom10",0.588909090909091,0.730727272727273,5.54545454545455,-8.99172727272727,0.681818181818182,0.05015,0.0847768181818182,0.133759854545455,0.147631818181818,0.571181818181818,118.699954545455,283312.227272727
1994,"July",7,"middle",0.594741237113402,0.756082474226804,5.98969072164948,-8.2470412371134,0.65979381443299,0.0595041237113402,0.101280402474227,0.0886300577319588,0.192958762886598,0.599539175257732,123.684597938144,277690.845360825
1994,"July",7,"top10",0.632222222222222,0.796666666666667,4.66666666666667,-8.38322222222222,0.555555555555556,0.0484555555555556,0.0529955555555556,0.150813666666667,0.143688888888889,0.641888888888889,124.837888888889,250696.333333333
1994,"August",8,"bottom10",0.626611111111111,0.669333333333333,5.11111111111111,-10.1647222222222,0.555555555555556,0.0659333333333333,0.163466444444444,0.458972564444444,0.225122222222222,0.545738888888889,118.995055555556,259828.277777778
1994,"August",8,"middle",0.591372727272727,0.726030303030303,6.07070707070707,-8.80148484848485,0.585858585858586,0.0596484848484848,0.134344084949495,0.140936627676768,0.19280404040404,0.569733333333333,124.396141414141,267471.02020202
1994,"August",8,"top10",0.5286,0.7566,7.4,-7.9188,0.6,0.04454,0.09696462,0.00184722,0.20598,0.6028,118.4532,231384
1994,"September",9,"bottom10",0.543176470588235,0.739882352941176,6.35294117647059,-8.43217647058824,0.764705882352941,0.0857,0.152519824117647,0.162963951176471,0.176552941176471,0.575823529411765,126.858941176471,269325.470588235
1994,"September",9,"middle",0.602077777777778,0.782633333333333,5.48888888888889,-8.15168888888889,0.644444444444444,0.06143,0.109998177777778,0.133597176888889,0.180872222222222,0.609916666666667,128.010544444444,278860.488888889
1994,"September",9,"top10",0.59975,0.740375,7.75,-8.978,0.75,0.0397125,0.073466875,0.10009063875,0.1309125,0.6835,122.51425,253594.25
1994,"October",10,"bottom10",0.590478260869565,0.733217391304348,5.69565217391304,-8.8724347826087,0.739130434782609,0.0915652173913043,0.12949717826087,0.116872781304348,0.198108695652174,0.617391304347826,122.729043478261,274095.695652174
1994,"October",10,"middle",0.616364485981308,0.716130841121495,5.4392523364486,-8.75243925233645,0.588785046728972,0.0623700934579439,0.117551568504673,0.124379686635514,0.207428971962617,0.595671028037383,121.829121495327,257906.869158879
1994,"October",10,"top10",0.629545454545455,0.702727272727273,5.81818181818182,-8.289,0.727272727272727,0.0377727272727273,0.118596254545455,0.0794723281818182,0.136536363636364,0.644181818181818,122.958181818182,270477.090909091
