"year","month","month_num","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms"
1952,"November",11,0.261333333333333,0.257483333333333,6.16666666666667,-11.9318333333333,0.666666666666667,0.0337166666666667,0.758833333333333,0.268175,0.151333333333333,0.293833333333333,99.2043333333333,180953.833333333
1952,"December",12,0.35,0.33029,6,-11.9947,0.7,0.04918,0.762,0.4285788,0.16675,0.3633,101.3612,178609.3
1953,"January",1,0.392875,0.29493125,4.8125,-12.241875,0.8125,0.04449375,0.7801875,0.22354485,0.182625,0.3936875,100.619625,179298.875
1953,"February",2,0.392916666666667,0.348416666666667,4.91666666666667,-10.5163333333333,0.666666666666667,0.0470666666666667,0.771416666666667,0.146454033333333,0.170125,0.43625,114.732,176193
1953,"March",3,0.4142,0.2993,5.1,-11.5703,0.7,0.03711,0.8021,0.070844751,0.1475,0.4925,115.1168,175381.7
1953,"April",4,0.529875,0.357875,5.125,-11.690125,0.875,0.0881625,0.7235,1.267625e-05,0.1903625,0.666875,136.325125,156414.625
1953,"May",5,0.5196,0.3722,5.8,-11.3191,0.8,0.0789,0.7487,0.176807031,0.20251,0.6081,129.8128,150435.3
1953,"June",6,0.463428571428571,0.386714285714286,4,-11.9452857142857,0.857142857142857,0.0977,0.692,0.252573942857143,0.220442857142857,0.544142857142857,131.116285714286,151632
1953,"July",7,0.4615,0.297833333333333,2.83333333333333,-14.3975,0.833333333333333,0.1085,0.714833333333333,0.1711812,0.285983333333333,0.511,126.5115,138179.833333333
1953,"August",8,0.495,0.250833333333333,5.66666666666667,-13.0835,0.833333333333333,0.0401833333333333,0.912333333333333,0.150862333333333,0.244166666666667,0.433166666666667,97.629,147581.333333333
1953,"September",9,0.436444444444444,0.302,6,-12.7587777777778,0.666666666666667,0.0364222222222222,0.872222222222222,0.200528466666667,0.226222222222222,0.423111111111111,93.5263333333333,152821.777777778
1953,"October",10,0.473833333333333,0.32225,5.33333333333333,-12.684,0.833333333333333,0.0382416666666667,0.87525,0.21136555,0.275666666666667,0.444083333333333,93.6729166666667,152480.166666667
1953,"November",11,0.516714285714286,0.324,4.35714285714286,-12.634,0.857142857142857,0.0446785714285714,0.865285714285714,0.181151257142857,0.309428571428571,0.505642857142857,96.8682142857143,152315.571428571
1953,"December",12,0.510933333333333,0.353466666666667,4.26666666666667,-12.3990666666667,0.933333333333333,0.0537133333333333,0.8386,0.281250326666667,0.28666,0.4872,106.858,152943.6
1954,"January",1,0.508933333333333,0.352666666666667,5.46666666666667,-11.5958666666667,0.866666666666667,0.0512266666666667,0.821466666666667,0.23698664,0.251193333333333,0.517333333333333,115.8082,159864.8
1954,"February",2,0.519923076923077,0.391923076923077,5.38461538461539,-11.3840769230769,0.769230769230769,0.0802230769230769,0.768615384615385,0.128401738461538,0.259869230769231,0.563907692307692,122.620384615385,160398.538461538
1954,"March",3,0.492285714285714,0.334714285714286,6.42857142857143,-11.6705,0.857142857142857,0.0503571428571429,0.804142857142857,0.105834065,0.330378571428571,0.498857142857143,115.763214285714,190463.071428571
1954,"April",4,0.536357142857143,0.331928571428571,6.71428571428571,-12.014,0.857142857142857,0.086,0.823142857142857,0.0653545221428571,0.295857142857143,0.643928571428571,125.941928571429,162806.5
1954,"May",5,0.5334,0.2844,7.1,-12.3289,0.9,0.09645,0.8372,0.0914309,0.24777,0.5885,127.8462,164712.8
1954,"June",6,0.4649,0.2647,5.3,-12.8301,0.7,0.08786,0.8703,3.1265e-05,0.26509,0.5336,121.9454,166968.9
1954,"July",7,0.421545454545455,0.229454545454545,4.81818181818182,-13.8986363636364,0.727272727272727,0.0835181818181818,0.828090909090909,2.16681818181818e-05,0.261718181818182,0.470818181818182,103.471636363636,178643.818181818
1954,"August",8,0.386727272727273,0.239,4.36363636363636,-12.4533636363636,0.727272727272727,0.0809272727272727,0.814090909090909,2.72772727272727e-05,0.235845454545455,0.422090909090909,98.1991818181818,181753.454545455
1954,"September",9,0.362454545454545,0.179545454545455,4.27272727272727,-13.1852727272727,0.818181818181818,0.0334818181818182,0.871818181818182,2.69954545454545e-05,0.228754545454545,0.351363636363636,87.4221818181818,187435.090909091
1954,"October",10,0.42096,0.251408,4.56,-12.26528,0.88,0.047096,0.81012,0.0072796424,0.19172,0.43616,104.052,176835.16
1954,"November",11,0.435095238095238,0.259204761904762,5,-12.5421428571429,0.952380952380952,0.0499047619047619,0.82852380952381,0.0174679866666667,0.192,0.450285714285714,105.390380952381,171756.857142857
1954,"December",12,0.5068,0.312915,5.65,-12.14145,1,0.06337,0.7744,0.018336243,0.196505,0.5136,105.88025,161695.2
1955,"January",1,0.534318181818182,0.345686363636364,5.5,-12.2947727272727,0.863636363636364,0.0658227272727273,0.718681818181818,0.0623220245454545,0.182204545454545,0.575318181818182,111.465590909091,156218
1955,"February",2,0.474365217391304,0.2967,5.60869565217391,-12.5727826086957,0.739130434782609,0.0642478260869565,0.784086956521739,0.049276077826087,0.178865217391304,0.499717391304348,107.154652173913,162207.608695652
1955,"March",3,0.434788235294118,0.237252941176471,5.94117647058824,-12.9812941176471,0.823529411764706,0.0442882352941176,0.814,0.0738882582352941,0.190741176470588,0.412029411764706,99.1038235294118,160334.941176471
1955,"April",4,0.418391304347826,0.298291304347826,5,-11.6189130434783,0.91304347826087,0.0629304347826087,0.821652173913043,0.105570196956522,0.18965652173913,0.438913043478261,111.594086956522,166569.826086957
1955,"May",5,0.358090909090909,0.264213636363636,5.18181818181818,-12.4323181818182,0.818181818181818,0.0388818181818182,0.849727272727273,0.152597407727273,0.192368181818182,0.355545454545455,105.648772727273,166940.5
1955,"June",6,0.3734,0.290385,5.1,-11.66785,0.85,0.04143,0.80965,0.1040161125,0.21908,0.39125,107.83015,177465.75
1955,"July",7,0.38755,0.278435,3.7,-11.5534,0.85,0.039205,0.80665,0.099912501,0.17748,0.40235,111.97485,174826.1
1955,"August",8,0.424647058823529,0.288335294117647,3.58823529411765,-11.9299411764706,0.941176470588235,0.0403235294117647,0.808058823529412,0.101317528823529,0.185905882352941,0.482470588235294,117.320647058824,170396.352941176
1955,"September",9,0.426818181818182,0.291259090909091,4.18181818181818,-12.0980909090909,0.818181818181818,0.0468045454545455,0.835090909090909,0.03812289,0.218218181818182,0.454727272727273,121.468681818182,165132.954545455
1955,"October",10,0.5064,0.36475,4.3,-11.35235,0.8,0.04994,0.79265,0.087081478,0.1742,0.5403,115.30635,168139.3
1955,"November",11,0.586875,0.422,4.9375,-11.0686875,0.75,0.05469375,0.723125,8.54075e-05,0.2179625,0.6058125,102.9020625,157837.5
1955,"December",12,0.629888888888889,0.424666666666667,5.33333333333333,-10.3745,0.777777777777778,0.117855555555556,0.659666666666667,0.0286319372222222,0.213677777777778,0.684666666666667,116.83,143032.222222222
1956,"January",1,0.692071428571429,0.37,4.57142857142857,-10.817,0.857142857142857,0.0965714285714286,0.675071428571429,2.45485714285714e-05,0.191578571428571,0.638214285714286,110.3965,144240.285714286
1956,"February",2,0.576941176470588,0.335235294117647,4.05882352941176,-11.3568823529412,0.941176470588235,0.0773352941176471,0.745411764705882,0.0521572782352941,0.212376470588235,0.546529411764706,109.840705882353,157263.117647059
1956,"March",3,0.508842105263158,0.348368421052632,5.21052631578947,-11.8934210526316,0.842105263157895,0.0749210526315789,0.746894736842105,0.108546995789474,0.227368421052632,0.529526315789474,123.905842105263,156702.315789474
1956,"April",4,0.529875,0.360708333333333,4.16666666666667,-12.033125,0.833333333333333,0.071175,0.733333333333333,0.0837064354166667,0.2232125,0.551666666666667,118.204708333333,148949.791666667
1956,"May",5,0.540083333333333,0.395083333333333,4.875,-12.1005833333333,0.833333333333333,0.0624208333333333,0.69025,0.0647892429166667,0.219004166666667,0.603333333333333,119.095833333333,145926.708333333
1956,"June",6,0.533826086956522,0.426869565217391,4.91304347826087,-10.984347826087,0.826086956521739,0.056204347826087,0.654869565217391,0.0666230965217391,0.218139130434783,0.617652173913044,116.702043478261,152500.043478261
1956,"July",7,0.511333333333333,0.397428571428571,4.85714285714286,-10.9996666666667,0.80952380952381,0.0515666666666667,0.715904761904762,0.075829980952381,0.191271428571429,0.613904761904762,117.028142857143,151750.904761905
1956,"August",8,0.487,0.36522,4.36,-11.09024,0.88,0.046168,0.76156,0.0398828468,0.155352,0.54816,106.45508,151274.08
1956,"September",9,0.480821428571429,0.397410714285714,4.75,-11.0624642857143,0.857142857142857,0.0522392857142857,0.720214285714286,0.00145796214285714,0.209964285714286,0.543464285714286,114.595535714286,159063.857142857
1956,"October",10,0.53552,0.46248,4.56,-11.3482,0.88,0.063884,0.62392,0.019721458,0.191848,0.66336,115.16468,156594.2
1956,"November",11,0.540607142857143,0.475560714285714,5.39285714285714,-11.6078214285714,0.821428571428571,0.0664214285714286,0.622928571428571,0.0453633867857143,0.183721428571429,0.654714285714286,117.596607142857,159782.607142857
1956,"December",12,0.515392857142857,0.416060714285714,4.75,-11.8772857142857,0.928571428571429,0.0492678571428571,0.643535714285714,0.04533793,0.171492857142857,0.573035714285714,113.665714285714,163541.285714286
1957,"January",1,0.51248275862069,0.4028,4.89655172413793,-12.4265172413793,0.931034482758621,0.0499793103448276,0.639344827586207,0.0437946934482759,0.174620689655172,0.590931034482759,114.942586206897,162047.965517241
1957,"February",2,0.538193548387097,0.445161290322581,4.80645161290323,-11.4414516129032,0.903225806451613,0.0560838709677419,0.630077419354839,0.0118770451612903,0.16398064516129,0.646354838709677,127.549935483871,150217.612903226
1957,"March",3,0.51151724137931,0.413265517241379,5.58620689655172,-12.1176551724138,0.758620689655172,0.0518137931034483,0.671910344827586,0.0125087920689655,0.167544827586207,0.595206896551724,127.368310344828,153880.448275862
1957,"April",4,0.543038461538462,0.414873076923077,5.92307692307692,-11.3331538461538,0.692307692307692,0.0543461538461538,0.630130769230769,0.0129121780769231,0.187807692307692,0.645038461538462,126.838115384615,147798.230769231
1957,"May",5,0.547961538461538,0.411384615384615,5.96153846153846,-11.7853846153846,0.769230769230769,0.0526230769230769,0.686384615384615,0.0551188384615385,0.224061538461538,0.643269230769231,128.186538461538,150056.461538462
1957,"June",6,0.5456,0.439644,5.76,-11.32,0.76,0.069072,0.70904,0.044979734,0.246484,0.62944,123.6986,154184.68
1957,"July",7,0.528809523809524,0.406052380952381,5.61904761904762,-11.6604761904762,0.80952380952381,0.0651952380952381,0.739047619047619,0.053564860952381,0.205938095238095,0.591238095238095,120.827333333333,154291.619047619
1957,"August",8,0.524041666666667,0.4060875,6.04166666666667,-12.054875,0.875,0.0665875,0.704,0.0469711579166667,0.2341875,0.587708333333333,121.200916666667,158693.666666667
1957,"September",9,0.541086956521739,0.449739130434783,6.08695652173913,-11.0023913043478,0.91304347826087,0.0616521739130435,0.693347826086957,0.01281539,0.214630434782609,0.654869565217391,119.588652173913,152456.52173913
1957,"October",10,0.5636,0.52115,5.6,-10.35295,0.95,0.054525,0.6791,6.43785e-05,0.21384,0.76675,118.3403,149692.35
1957,"November",11,0.5443,0.515166666666667,4.76666666666667,-10.7198,0.933333333333333,0.0512,0.61821,0.0420180533333333,0.262203333333333,0.7655,117.435166666667,155202.866666667
1957,"December",12,0.499038461538462,0.495884615384615,4.76923076923077,-10.3788076923077,0.884615384615385,0.0495730769230769,0.620819230769231,0.0396935280769231,0.200353846153846,0.713576923076923,120.918653846154,149859.346153846
1958,"January",1,0.54696875,0.53878125,5.125,-10.216625,0.875,0.05870625,0.642478125,0.0274666315625,0.2268125,0.7799375,126.79428125,140812.25
1958,"February",2,0.555586206896552,0.488965517241379,4.10344827586207,-10.4733103448276,0.896551724137931,0.0475724137931034,0.660586206896552,0.0607274393103448,0.210865517241379,0.781689655172414,131.293379310345,147119.310344828
1958,"March",3,0.540535714285714,0.487571428571429,4.92857142857143,-10.63825,0.928571428571429,0.0447142857142857,0.631464285714286,0.0765975403571429,0.218032142857143,0.740392857142857,126.950857142857,143351.214285714
1958,"April",4,0.55916,0.51416,5.48,-10.54252,0.88,0.050648,0.642172,0.071351848,0.206824,0.77512,123.18252,142021.84
1958,"May",5,0.537466666666667,0.4902,4.63333333333333,-10.4815666666667,0.866666666666667,0.05735,0.705476666666667,0.0796035266666667,0.251423333333333,0.7044,117.789533333333,146827.5
1958,"June",6,0.51692,0.471976,5.04,-9.9022,0.92,0.060176,0.75692,0.0117366276,0.254236,0.658228,123.16828,146212.52
1958,"July",7,0.51896,0.469336,5.32,-10.53248,0.92,0.053764,0.72308,0.0114693,0.261948,0.675228,117.67532,140855.96
1958,"August",8,0.528566666666667,0.463846666666667,4.7,-10.4152333333333,0.833333333333333,0.0556566666666667,0.6864,0.031957947,0.274026666666667,0.670756666666667,116.258466666667,144068.433333333
1958,"September",9,0.543620689655172,0.446255172413793,4.96551724137931,-10.6286896551724,0.827586206896552,0.0513758620689655,0.679310344827586,0.029003004137931,0.2379,0.668034482758621,113.933034482759,149330.862068966
1958,"October",10,0.54308,0.4056,5.44,-11.18352,0.76,0.0602,0.74368,0.0344420524,0.214736,0.60948,107.87728,156469.56
1958,"November",11,0.56348,0.45152,6.2,-10.71828,0.76,0.044064,0.589348,0.0456352344,0.214824,0.6662,116.18624,156197.6
1958,"December",12,0.535833333333333,0.493833333333333,6.04166666666667,-10.3317083333333,0.791666666666667,0.0425166666666667,0.6293625,0.0468086029166667,0.200129166666667,0.648291666666667,121.0355,153834.416666667
1959,"January",1,0.516129032258065,0.488970967741935,5.48387096774194,-10.3286451612903,0.870967741935484,0.0424516129032258,0.671570967741935,0.0619865322580645,0.182454838709677,0.614225806451613,117.864806451613,155251.612903226
1959,"February",2,0.495347826086957,0.461078260869565,4.52173913043478,-11.3541739130435,0.91304347826087,0.0403173913043478,0.650718260869565,0.073089877826087,0.174360869565217,0.579652173913043,118.64852173913,156728.173913043
1959,"March",3,0.47464,0.430948,4.28,-10.99564,0.92,0.044704,0.6689128,0.1062903852,0.1888508,0.51476,114.01728,153143
1959,"April",4,0.509807692307692,0.459719230769231,4.19230769230769,-10.965,0.961538461538462,0.0465192307692308,0.653608461538462,0.124543002692308,0.196618076923077,0.621153846153846,117.051615384615,147805.230769231
1959,"May",5,0.519151515151515,0.511930303030303,4.39393939393939,-10.7654848484848,0.909090909090909,0.0479424242424242,0.560470303030303,0.0927974766666667,0.159177878787879,0.674575757575758,116.660181818182,144353.606060606
1959,"June",6,0.5225,0.555,3.56666666666667,-9.61863333333333,0.833333333333333,0.0534566666666667,0.538214,0.11187471,0.183882333333333,0.717233333333333,122.422066666667,148920.9
1959,"July",7,0.517147058823529,0.568676470588235,4.5,-9.35226470588235,0.764705882352941,0.0472235294117647,0.573365294117647,0.135978132647059,0.173632352941176,0.718058823529412,124.777588235294,150316.058823529
1959,"August",8,0.496457142857143,0.503171428571429,4.54285714285714,-10.0484285714286,0.8,0.0473228571428571,0.615269142857143,0.163194373714286,0.192791428571429,0.661342857142857,121.1066,148115.142857143
