year,month,maxtemp,sunshine,daysrain,month_num,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,raw.maxtemp,raw.sunshine,raw.daysrain
1953,January,-1.476673982570211,-1.3011896627684862,-0.8694279594539771,-1.52542553961938,-1.5101966707173462,-0.7901422553502956,-0.043370716086567486,0.028559631267421,0.08039853242438869,-0.5765211545703963,-0.2690662799614107,0.6705042835623878,-0.8782464602587376,-1.2716750150272318,-0.7107052539824918,1.734803782498573,5.7,37.1,9.1
1953,February,-1.2592495924985236,-0.8747784855379611,-0.47168379031960617,-1.2480754415067656,-1.509350926000175,0.5781004568218329,0.07414993395445699,1.781476051540786,-1.6449422363909483,-0.478312156018914,-0.3899962258533162,-0.33650084558315174,-1.1176842807066798,-0.7399492226644458,0.1785013375477626,1.491648894636493,6.7,61.7,10.4
1953,March,-0.6069764222834613,0.3229862439998153,-2.001469056221032,-0.9707253433941511,-1.077344524473075,-0.6783826258786735,0.28098627802665044,0.7107887930929715,-1.250578632090303,-0.8583611000490673,0.033057513599421086,-1.324153310725618,-1.5510667357174548,-0.037227911171777844,0.2027471995249876,1.4281332797059172,9.7,130.8,5.4
1953,April,-0.47652178824044844,0.8707339350764249,0.5685701904933637,-0.6933752452815365,1.2706119593161855,0.8200597881528505,0.3091912340364959,0.5890628364749514,0.819830290488106,1.090328091290002,-1.0506586380894039,-2.2494031091508515,-0.730034449401462,2.1412081544554944,1.5390624820565173,-0.05677419232584858,10.3,162.4,13.8
1953,May,0.6975699181466638,1.4358154138453323,-0.44108808500157776,-0.41602514716892186,1.0620513120636699,1.1865162556048616,1.0707250463023126,0.9659739406201686,-0.06748781918835425,0.7367756965046703,-0.7032076581586356,0.05998768128560581,-0.497348775490152,1.406942464091377,1.1287274168256638,-0.5248877190666006,15.7,195,10.5
1953,June,1.0019640642470269,0.6436613163073241,-0.1963224424573494,-0.1386750490563073,-0.07810922321181658,1.5578149551124678,-0.9600317864065323,0.3298541401447707,0.6085640738984706,1.4543773183091753,-1.4849723630028655,1.0496991950391121,-0.15384443719495305,0.6079371786176804,1.2108587440550365,-0.4311996426615445,17.1,149.3,11.3
1953,July,1.1759035763043761,0.7632644513841784,2.1289511617128176,0.1386750490563073,-0.11725512154908913,-0.7159023107370615,-2.276263066865973,-2.1612631539169604,0.32687578511229093,1.8666165478564445,-1.1701523613460225,-0.013500198563973604,1.1015850644184708,0.19388932016358887,0.9207158156161693,-1.4843521608200099,17.9,156.2,18.9
1953,August,1.3933279663760638,1.009404236614807,0.599165895811392,0.41602514716892186,0.5627236310503505,-1.9182376664260348,0.9202986142498092,-0.8264172787149766,0.32687578511229093,-0.7410510476902469,1.55292575517488,-0.27891706449536235,0.3005857424133025,-0.7784687612203367,-0.8991415351042139,-0.7483210332841808,18.9,170.4,13.9
1953,September,0.893251869211183,0.20511648769219026,0.3544002532671637,0.6933752452815365,-0.6258296114700724,-0.6093122969348392,1.2963646943810734,-0.4965435200241645,-1.6449422363909483,-0.8846137834945165,0.999884292410299,0.3698508844517784,-0.043140550940864955,-0.9040910401143402,-1.1576464460672158,-0.3380534979723965,16.6,124,13.1
1953,October,0.04529674793160131,-0.5159690803073971,-0.28810955841143515,0.9707253433941511,0.1330853147312945,-0.09128482985607957,0.5442325341185349,-0.42057943461817704,0.32687578511229093,-0.8151650449776777,1.0416304970095671,0.5114111762415349,0.9039690499421161,-0.6420887733602862,-1.148410377283008,-0.3647977846596062,12.7,82.4,11
1953,November,-0.5200066662547862,-1.1815865276916317,0.599165895811392,1.2480754415067656,1.0034774493664118,-0.04651702405914895,-0.557103843408742,-0.3697862125785288,0.6085640738984706,-0.5694664653742759,0.9042455432104076,0.11673449234794947,1.5506792011710187,0.12696348097380838,-0.947077879758101,-0.37768373037920655,10.1,44,13.9
1953,December,-0.867885690369486,-1.3774583286145965,0.01784749476885004,1.52542553961938,0.88613641089366,0.7072875535501162,-0.6591789223015143,-0.1311257932882634,1.5099665980142385,-0.22460690178519616,0.5363099250070812,1.4242868155905868,1.1145466317653934,-0.10343987474353114,-0.31763150343111013,-0.3285161956715963,8.5,32.7,12
1954,January,-1.4640477813686101,-1.1452273984271346,-0.6740699749706932,-1.52542553961938,0.7287711601867919,1.1059990206465673,0.04907063382553413,1.0793707785096323,0.3088175782199528,-0.7929580797311406,0.01516143667648809,2.458999217302555,0.11507763596481066,0.22758962260369628,0.3722144398219333,-1.1142709011657301,5,46.8,12.4
1954,February,-1.5542586844567916,-0.9346516130484879,0.16533791838903755,-1.2480754415067656,0.914373161411462,1.7571486340935234,-0.04018547332169629,1.378872827530086,-0.7386729359477969,0.6169673901330478,-1.6752214984755436,0.984239860628013,0.3230110762166194,0.8122610642759419,0.9218627057316866,-1.0650371905400615,4.6,56.7,15.7
1954,March,-0.7874660082072499,0.00974887895271502,-0.49601375516711405,-0.9707253433941511,0.4476152455258208,0.8082212604988056,1.0954391042212144,0.9738281970811196,0.2064312873614459,-0.835237925921064,-0.5389191996732272,0.67773419433158,2.0128938671910546,-0.004351324308148572,0.3685847202467814,1.7082096763420478,8,101.1,13.1
1954,April,-0.06577878350179918,1.6837200213061991,-2.352885761690155,-0.6933752452815365,1.1919224509569752,0.7620143666827618,1.406241620180322,0.4880683482105117,0.2064312873614459,0.8978652982387403,0.06877231737880606,0.1279562442052997,1.185525925338349,1.8168035591118292,1.1898649661900111,-0.8429192617688108,11.2,179.8,5.8
