year,month,maxtemp,sunshine,rainfall,daysrain,airfrost
2020,September,17.1,145,77.3,10.1,0.4
2020,October,12.4,66.8,182.4,21.1,0.2
2020,November,10.7,53.1,105,15,2.9
2020,December,6.8,37.4,169.4,20.9,9.3
2021,January,4.9,NA,137.6,17.5,18.5
2021,February,7,NA,102.9,13.3,10.8
2021,March,9.8,NA,84.3,11.1,5.2
2021,April,10.9,NA,20.1,5.1,13.8
2021,May,13.4,NA,119.5,16.8,2.7
2021,June,18.7,NA,43.2,6.9,0.1
2021,July,21.1,NA,72.5,10.8,0
2021,August,18.9,NA,65.4,10.1,0
2021,September,18.7,NA,78.8,10.7,0
2021,October,14,NA,162.7,17,0.3
2021,November,10,NA,74.9,11.8,4.5
2021,December,7.8,NA,115.1,17,7.3
